Country,Code,Date,Travel_Control
Latvia,LVA,2022-08-01,No Restriction
Lebanon,LBN,2022-08-01,Screening
Lesotho,LSO,2022-08-01,Screening
Liberia,LBR,2022-08-01,Screening
Libya,LBY,2022-08-01,Screening
Lithuania,LTU,2022-08-01,No Restriction
Luxembourg,LUX,2022-08-01,Screening
Macao,MAC,2022-08-01,Strict Restriction
Madagascar,MDG,2022-08-01,Screening
Malaysia,MYS,2022-08-01,No Restriction
Mali,MLI,2022-08-01,Screening
Malta,MLT,2022-08-01,No Restriction
Mauritania,MRT,2022-08-01,Screening
Mauritius,MUS,2022-08-01,No Restriction
Monaco,MCO,2022-08-01,Screening
Mongolia,MNG,2022-08-01,No Restriction
Morocco,MAR,2022-08-01,Screening
Myanmar,MMR,2022-08-01,Screening
Namibia,NAM,2022-08-01,Screening
Nepal,NPL,2022-08-01,Screening
New Zealand,NZL,2022-08-01,Screening
Nicaragua,NIC,2022-08-01,Screening
Niger,NER,2022-08-01,Screening
Palestine,PSE,2022-08-01,No Entry
Panama,PAN,2022-08-01,Screening
Papua New Guinea,PNG,2022-08-01,Screening
Paraguay,PRY,2022-08-01,Screening
Peru,PER,2022-08-01,Screening
Philippines,PHL,2022-08-01,Screening
Poland,POL,2022-08-01,No Restriction
Portugal,PRT,2022-08-01,Screening
Puerto Rico,PRI,2022-08-01,Screening
Qatar,QAT,2022-08-01,Screening
Russia,RUS,2022-08-01,Attention
Rwanda,RWA,2022-08-01,No Restriction
San Marino,SMR,2022-08-01,Screening
Saudi Arabia,SAU,2022-08-01,No Restriction
Senegal,SEN,2022-08-01,Screening
Serbia,SRB,2022-08-01,No Restriction
Seychelles,SYC,2022-08-01,Screening
Sierra Leone,SLE,2022-08-01,Screening
Singapore,SGP,2022-08-01,Screening
Slovakia,SVK,2022-08-01,No Restriction
Slovenia,SVN,2022-08-01,No Restriction
Solomon Islands,SLB,2022-08-01,Screening
Somalia,SOM,2022-08-01,Screening
South Africa,ZAF,2022-08-01,No Restriction
South Sudan,SSD,2022-08-01,Screening
Spain,ESP,2022-08-01,Screening
Sri Lanka,LKA,2022-08-01,Screening
Sudan,SDN,2022-08-01,Screening
Suriname,SUR,2022-08-01,Screening
Sweden,SWE,2022-08-01,No Restriction
Switzerland,CHE,2022-08-01,No Restriction
Taiwan,TWN,2022-08-01,Strict Restriction
Tajikistan,TJK,2022-08-01,Screening
Thailand,THA,2022-08-01,Screening
Timor,TLS,2022-08-01,Screening
Togo,TGO,2022-08-01,Screening
Tonga,TON,2022-08-01,Screening
Tunisia,TUN,2022-08-01,Screening
Turkey,TUR,2022-08-01,Screening
Turkmenistan,TKM,2022-08-01,No Entry
Uganda,UGA,2022-08-01,Screening
Ukraine,UKR,2022-08-01,Strict Restriction
United States,USA,2022-08-01,Screening
United States Virgin Islands,VIR,2022-08-01,Screening
Uruguay,URY,2022-08-01,Screening
Vanuatu,VUT,2022-08-01,Screening
Venezuela,VEN,2022-08-01,Screening
Vietnam,VNM,2022-08-01,No Restriction
Yemen,YEM,2022-08-01,No Restriction
Zambia,ZMB,2022-08-01,Screening
Zimbabwe,ZWE,2022-08-01,Screening
